n,Distribuicao,Algoritmo,Teorico,Pratico,TempoMedio(ms),Comparacoes,Trocas
1000,Aleatória,Merge Sort,O(n log n),O(n log n),1.056600,8713,9976
1000,Aleatória,Heap Sort,O(n log n),O(n log n),0.616800,11726,9131
1000,Aleatória,Quick Sort,O(n log n),O(n log n),1.312100,10951,11605
1000,Aleatória,Merge Sort,O(n log n),O(n log n),0.356500,8708,9976
1000,Aleatória,Heap Sort,O(n log n),O(n log n),0.389000,11667,9069
1000,Aleatória,Quick Sort,O(n log n),O(n log n),0.319900,10975,11640
1000,Aleatória,Merge Sort,O(n log n),O(n log n),0.328700,8687,9976
1000,Aleatória,Heap Sort,O(n log n),O(n log n),0.379400,11640,9047
1000,Aleatória,Quick Sort,O(n log n),O(n log n),0.398800,12030,12688
1000,Aleatória,Merge Sort,O(n log n),O(n log n),0.304400,8665,9976
1000,Aleatória,Heap Sort,O(n log n),O(n log n),0.268800,11795,9146
1000,Aleatória,Quick Sort,O(n log n),O(n log n),0.320400,10525,11183
1000,Quase ordenada,Merge Sort,O(n log n),O(n log n),0.283700,8055,9976
1000,Quase ordenada,Heap Sort,O(n log n),O(n log n),0.252800,12691,9572
1000,Quase ordenada,Quick Sort,O(n log n),O(n log n),0.266200,11368,12025
1000,Quase ordenada,Merge Sort,O(n log n),O(n log n),0.571400,8038,9976
1000,Quase ordenada,Heap Sort,O(n log n),O(n log n),0.209200,12698,9582
1000,Quase ordenada,Quick Sort,O(n log n),O(n log n),0.326900,10767,11427
1000,Quase ordenada,Merge Sort,O(n log n),O(n log n),0.190600,8149,9976
1000,Quase ordenada,Heap Sort,O(n log n),O(n log n),0.250500,12683,9581
1000,Quase ordenada,Quick Sort,O(n log n),O(n log n),0.361800,10138,10788
1000,Quase ordenada,Merge Sort,O(n log n),O(n log n),0.328900,8052,9976
1000,Quase ordenada,Heap Sort,O(n log n),O(n log n),0.156600,12649,9566
1000,Quase ordenada,Quick Sort,O(n log n),O(n log n),0.140600,10413,11077
1000,Reversa,Merge Sort,O(n log n),O(n log n),0.110200,4932,9976
1000,Reversa,Heap Sort,O(n log n),O(n log n),0.145100,10340,8316
1000,Reversa,Quick Sort,O(n log n),O(n log n),0.125700,10872,11529
1000,Reversa,Merge Sort,O(n log n),O(n log n),0.117400,4932,9976
1000,Reversa,Heap Sort,O(n log n),O(n log n),0.144100,10340,8316
1000,Reversa,Quick Sort,O(n log n),O(n log n),0.122800,10288,10965
1000,Reversa,Merge Sort,O(n log n),O(n log n),0.111000,4932,9976
1000,Reversa,Heap Sort,O(n log n),O(n log n),0.139800,10340,8316
1000,Reversa,Quick Sort,O(n log n),O(n log n),0.128100,10902,11571
1000,Reversa,Merge Sort,O(n log n),O(n log n),0.115600,4932,9976
1000,Reversa,Heap Sort,O(n log n),O(n log n),0.412300,10340,8316
1000,Reversa,Quick Sort,O(n log n),O(n log n),0.180200,10744,11409
1000,Repetidos,Merge Sort,O(n log n),O(n log n),0.126700,8273,9976
1000,Repetidos,Heap Sort,O(n log n),O(n log n),0.170900,8960,7772
1000,Repetidos,Quick Sort,O(n log n),O(n log n),0.246800,2780,1792
1000,Repetidos,Merge Sort,O(n log n),O(n log n),0.099600,8294,9976
1000,Repetidos,Heap Sort,O(n log n),O(n log n),0.217300,8893,7727
1000,Repetidos,Quick Sort,O(n log n),O(n log n),0.230500,2852,1864
1000,Repetidos,Merge Sort,O(n log n),O(n log n),0.095300,8268,9976
1000,Repetidos,Heap Sort,O(n log n),O(n log n),0.198700,8915,7700
1000,Repetidos,Quick Sort,O(n log n),O(n log n),0.284800,3459,2471
1000,Repetidos,Merge Sort,O(n log n),O(n log n),0.114000,8262,9976
1000,Repetidos,Heap Sort,O(n log n),O(n log n),0.169400,8931,7697
1000,Repetidos,Quick Sort,O(n log n),O(n log n),0.196900,2702,1714
